Index,Date,Stars,Title,Review
46,"May 2, 2023",3.0,Crackling sound!,"When these airpods work, they work well, until the crackling static noise starts, at least with mine. I've tried every single suggestion from apple, from recent updates, removing the device, but nothing resolves this issue. It's so frustrating I don't use them much at all. It's a shame because they're not cheap. If someone has advice I would appreciate it."
47,"May 2, 2023",5.0,Excellent,Excellent ... Superb quality
48,"May 2, 2023",2.0,Buying These AirPods Was A Mistake,"These AirPods don’t work as advertised…!!!! So disappointed at the money I wasted. And, once you open the package, they are non-returnable, unless actually defective. I should have bought a different brand."
49,"May 2, 2023",5.0,Great noise canceling,Gift for my adult son. He asked for an update on AirPods. He really liked the better noise canceling function and said the quality is definitely noticeable.
50,"May 2, 2023",5.0,Significant update to the original.,Noise cancellation.
51,"May 2, 2023",5.0,These really are amazing,"My son wanted these for his birthday more than anything. He has AirPods gen 2, but wanted this newer upgraded version. He says the noise cancellation is phenomenal and the sound quality is amazing. Totally worth the price, and made a wonderful birthday gift."
52,"May 2, 2023",5.0,Very Goods,"Excellent sound, ideal, the only negative is the battery"
53,"May 2, 2023",5.0,"I was hesitant, but…..","I currently own the GEN twos the GEN threes and the AirPod Pro second generation for months now ..what I learned is this all of them sound excellent and work perfectly with an iPhone you are paying for the different features each one offers that being said I was hesitant to buy AirPod pros because of the price and because I don’t care for silicon tips but after using them if you can afford them, the noise cancellation, and the new charging case is worth the money in itself not to mention the other features it offers try to find them on sale, but get them they are is close to over the ear headphones you will get"
54,"May 2, 2023",5.0,Best headphones money can buy,So convenient. Blocks out all sound. Sound quality is awesome. This is my third pair.
55,"May 2, 2023",5.0,Had Bose before but this is much better with Apple phones,"The Apple AirPods Pro (2nd Generation) are an excellent choice for anyone looking for a high-quality pair of wireless earbuds with exceptional noise cancellation. Whether you are on the Long Island Rail Road or an airplane, the AirPods Pro's Active Noise Cancellation (ANC) technology can block out ambient noise, providing a more immersive listening experience. The Transparency mode also allows you to hear your surroundings when necessary, making them a safe option for use while commuting. Additionally, the AirPods Pro have a comfortable, ergonomic design that fits snugly in your ear, and the sound quality is superb. Overall, the Apple AirPods are an excellent investment for those who value noise cancellation and high-quality audio."
56,"May 2, 2023",3.0,One of the seals was missing,When I got the box I saw that one of the seals was missing but other than that the AirPods work just fine
57,"May 2, 2023",5.0,Gift for husband,Husband loves this.Really likes the noise cancellation
58,"May 2, 2023",5.0,Apple air pods,Amazon has the best price! This is the family’s 3rd pair purchased and we love them!
59,"May 2, 2023",5.0,Perfection!,I’ve bought lower priced buds and always come away disappointed. Battery life could be better but everything else is 5 stars!
60,"May 2, 2023",3.0,"Form over function again, not worth the premium for how long they'll last","The sound quality is good, but you can't control the volume well at low ends--the quietest setting is still too loud for studying in quiet environments, and they've removed the options for adjusting sound globally because now iOS only lets you control the *loudest* sounds.So quiet listening is out.And they FALL OUT a lot. Worse balance than the original air pods. So stupid to not put in a little soft hook and design the case to accomodate that. They won't last because you're gonna lose them when they fall out."
61,"May 2, 2023",5.0,Music,As a music lover I fell in love with this and if you love music you need these there light weight and easy to use they fit so well in my ears and offer hours of the finest quality musical enjoyment
62,"May 1, 2023",5.0,Great,I mean they’re AirPods. What u expect is what ur getting so they great
63,"May 1, 2023",1.0,Lasted less than 90 days,"I got these for my son’s 15th bday and he loved them…for the 75 days they worked. Now, they no longer charge and we’ve tried everything to fix. Since the purchase was made through Amazon, there’s no warranty that I’m aware of so I’m guessing this was a $200 waste."
64,"May 1, 2023",5.0,AAAAAAA,"Definitivamente es lo mejor del mercado, si realmente quieres cancelación de ruido externo, cómpralos, no busques mas."
65,"May 1, 2023",5.0,Great,Works and sounds how it should
66,"May 1, 2023",5.0,They just work,"The noise cancellation is excellent. The ambient sound is even better! They work so well switching back and forth between my various Apple products. These are the most satisfying to use apple items in a long time! Oh, and audio ain’t bad either!"
67,"May 1, 2023",5.0,Noise control for golfers!,"This noise control feature I found it really helpful if you want to block out some of the serious distractions on the golf course. Yes, even people talking or shouting at you. I highly recommend these. Great sounds and great features with nice modern look. Worth the investment."
68,"May 1, 2023",5.0,Definitely worth the money,I LOVE my AirPods pro 2. I could kick myself for not purchasing them sooner. I’m wearing them everyday for music & phone calls. This particular AirPods version has phenomenal noise canceling. I wouldn’t have thought it could be this good. I was wearing them at work without the music on - just noise canceling and literally did not hear my office phone ring a mere 18 inches from me! They are definitely worth the money if you listen to music every day like I do .
69,"May 1, 2023",4.0,"Battery drains while idle, sounds great!","Love the sound and the cancelling capability! But I’ve found that if they sit idle for very long the battery begins to drain, previous model wasn’t this thirsty. Overall am pretty happy and these stay in my ear better."
70,"May 1, 2023",5.0,Noise cancellation and quality,"Excellent product, easy to use, the noise cancellation is incredible, excellent battery and they fit very snug in the ear."
71,"May 1, 2023",2.0,Interference ruins the experience,"I am a huge Apple fan. I bought the latest AirPod Pro 2nd generation hoping to solve the interference and static I was experiencing with my 1st generation air pods. It may be related to the immediate area's RF (radio frequency). They could make these expensive AirPods resistant to environmental RF interference. Sometimes they work great—other times, brief static and interference. I went back to using the wired earbuds. Please comment below if you have had the same issue and can recommend a non-Apple wireless pair of earbuds."
72,"May 1, 2023",5.0,Perfect,Perfect
73,"May 1, 2023",5.0,Sound Quality,I like everything about my iPod pros. Sound quality is great and noise cancellation is excellent. Great for traveling and zoom meetings.
74,"May 1, 2023",5.0,amazing. just like i got them from best buy the first time i had them,"i love the airpods pro i’m a huge fan of these, i had a pair and they got stolen and i wanted another pair really bad. the noise cancelling is really good, the bass the sound quality, they are really good and unlike the regular airpods, they don’t leak so much sound leaving others around you distracted and annoyed. overall recommend, they came in the mail and i opened them up just like i did buying them from best buy all sealed up and everything. 10/10 recommend."
75,"May 1, 2023",5.0,Great upgrade from Gen 1 Pro's,"I like the upgrades for the Gen2 Airpod Pro's. The case has speakers, so if you lose the case you can use the Find My feature and it's actually pretty loud. The sound is great still, I honestly cannot tell much difference if any from the Gen 1's. I think the battery life is improved though, so you won't have to charge them as frequently."
76,"May 1, 2023",5.0,Perfect,Noice cancelling and sound quality are just perfect. There are also many handy features in it
77,"May 1, 2023",5.0,best in the industry.,On my 2nd set because my daughter put one in her mouth and caused sound distortion in my original set. Other than your children munching on these they are better than bose or beats in my opinion.
78,"May 1, 2023",5.0,Great AirPods!,"I love it! It has awesome sound quality and three modes! I love the Noice Cancellation, and I can put it on anytime when there’s loud sounds around me. I’m sensitive to loud sounds so it’s perfect for me! 10/10"
79,"May 1, 2023",5.0,Item as described arrived quickly,"Arrived a day ahead of expected delivery date, boxed nicely to limit damage. Bought on sale for 199, worth it, better than the other versions"
80,"April 30, 2023",5.0,As advertised,Works great
81,"April 30, 2023",5.0,It was delivered on time,So for I love everything about my ears phone
82,"April 30, 2023",2.0,Wind Noise Terrible vs Gen 1,"Expected much improved performance vs. Gen 1 but wind noise (such as while riding a bike) is much worse. Found sound quality and noise cancellation improved (except wind noise). The wind noise is so much worse than Gen 1 the air pods are almost useless while riding a bike. Called Apple for help (they are usually great) but seems like they are in denial on this issue. An internet search revealed numerous complaints similar to mine. This is a major tarnish on Apple's reputation in my mind..... especially the lack of help. I do recall Bose having an issue with their sleep buds and they admitted the problem, offered refunds and eventually launched an improved product. Don't understand why Apple will not admit their problem"
83,"April 30, 2023",5.0,Best air pods,Great and light weight and affordable
84,"April 30, 2023",5.0,"Insane Sound, Quiet Background","Don't look for other earbuds. Seriously. I have tried every pair of earbuds Apple has made. I have also tried Sony's latest headphones that are ""industry leading,"" as well as a pair of Bose's headphones with ANC. These are either the same or better than all of those products. The sheer amount of features and unexpected quirks and the flow of UI on my phone make it worth the buy. You might think 200 dollars is expensive for earbuds, and I will say it is. But if you are looking for high-end sound in a comfortable earbud, then this is it. I will say that the battery life is slightly worse than I expected for the price. I wished they would last slightly longer. As of right now with use of like 12 hours every two days I am charging them about twice a week. Best wireless earbuds ever."
85,"April 30, 2023",5.0,NOT FAKE!,Very nice and loud if you want spatial audio you have to go to accessibility scroll down to audio/visual and if you have mono audio take it off the turn on spatial audio and it basically sounds like the music is following you if you turn your head left you hear it in your left if you turn your head right you hear it in your right. But overall very good and not fake.Also of you would like to check if it is fake go to checkcoverage.apple.com and type in the serial number and if it pops up your airpods it isnt fake and if it pop up a error sign it is fake
86,"April 30, 2023",5.0,Wife loves them,"Bought these for my wife who regularly complains about, well, a lot of stuff, but specifically the discomfort she has with most in ear speakers. The over the ear are, apparently, not acceptable as they mess with the hair. These are the first pair of ear buds she has actually used regularly. Wish I’d bought them sooner."
87,"April 30, 2023",5.0,Whats expected from Apple,"Excellent quality in minimal space. New ones are slightly better than Gen1. Liked new and enhanced noise reduction, vol controls on earbuds are tricky to use though. Still smallest one with best features in comparison to rivals Bose, Sony etc which I used all. Especially Bose was awful and probably shameful product with lots of software glitches and battery life (box and earphones battery was dying itself if not used within a week max)."
88,"April 30, 2023",1.0,Poor sound quality,"Since day one my son’s AirPods Pro microphone sound quality has been bad. The mic picks up tons of background noise and the audio is often garbled. To be fair, Apple support has been okay. The Genius Bar tried to help and even replaced the AirPods, but it did not help. Perhaps it’s the phone itself, an iPhone 11, and not the AirPods, but regardless, they are are virtually useless for phone conversations."
89,"April 30, 2023",3.0,Has color transferred from jeans pocket,"I always carried onn airpods in the same pocket never had color mark from jeans pocket, but this 200$ apple airpod case has blue mark from the same jeans pocket i am dissapointed that apple quality seems like less than onn case quality to me"
90,"April 30, 2023",5.0,Great,"Fits perfect, noise cancellation and high quality. I like it."
91,"April 30, 2023",4.0,Yes and no,"The noise cancellation was good. The sound quality was good. The ear tip size, even with special replacement tips, wasn't good. They made my ears hurt, so I had to return them and buy the regular, non-pro AirPod version."
92,"April 30, 2023",3.0,Works as advertised,They’re okay. Still uncomfortable and painful in my ears after two months. Ear canals get sweaty too. But I’m the coolest guy on the block with my dope airpods
93,"April 30, 2023",5.0,Airbuds,I love them!!!
94,"April 30, 2023",3.0,"Defective, slow support","Within five minutes of trying them on for the first time, the right earbud started making a loud hissing, squealing sound. This would come and go. They were perfect for a 2.5 hour flight. But after about two weeks, they were doing this after just a couple of minutes.It took 45 minutes with Apple support before they agreed that maybe they should take them back for ""repair"" and another 25 minutes to work out the return. Not to mention my time to drive them to a UPS Store, where the entire concept of returning Apple products seemed new to them. By comparison, I contacted support for my 3D printer recently and it took them 3 minutes to diagnose my problem and ship me a replacement part.I suppose I would have been better off with an appointment at an Apple store, but I was afraid they would work perfectly in the store (this seems to happen more in quiet locations)."
95,"April 30, 2023",2.0,N,It has Manu scratches as of it had aletearte been used
96,"April 29, 2023",5.0,Incredible well balanced sound!!! Buy them!!!,"Noise cancelling is amazing for such a small device! Integration w apple ecosystem is incredible! Bass is strong but well balanced, I am simply amazed by these things!!! Tried Beats Fit Pro and they absolutely suck compared to these!"
97,"April 29, 2023",5.0,Awestruck,I don’t know if it is particular to these EarPods but the noise cancelling feature is jaw dropping. I seriously couldn’t believe my ears. Technology is amazing. Would do this purchase 10 times over.
98,"April 29, 2023",1.0,Do not buy,Mine have had consistent issues since purchasing. This is my 3rd pair but the only I’ve bought from Amazon and this is the only pair having issues. Box will not stay charged and will not recognize when the ear buds are in place.
